"Timestamp","I understand the above and agree to take part","Valence -> how pleasant or unpleasant did you feel during this playthrough?
1 label: very unpleasant - 9 label: very pleasant"," Arousal -> how calm or excited/agitated did you feel?
1 label: calm, relaxed - 9 label: excited, agitated"," Dominance -> how in-control vs. controlled/small did you feel?
1 label: controlled, submissive - 9 label: in control, dominant","What's one moment from that playthrough you remember?","Valence -> how pleasant or unpleasant did you feel during this playthrough?
1 label: very unpleasant - 9 label: very pleasant"," Arousal -> how calm or excited/agitated did you feel?
1 label: calm, relaxed - 9 label: excited, agitated"," Dominance -> how in-control vs. controlled/small did you feel?
1 label: controlled, submissive - 9 label: in control, dominant","What's one moment from that playthrough you remember?"," Anything you want to add now that you know what was being compared?"
"2026/08/31 7:59:28 PM GMT+3","Yes","2","2","1","When I tried to hide behind the table but charlie just levitated over it","7","7","6","When the lights came back and I realised I wasnt dead yet",""
"2026/08/31 8:11:19 PM GMT+3","Yes","2","8","3","the sound of charlie chat, the buzzing","6","8","3","when it went completely dark :)","More creepy with no light, you see everything flat, creepier when i see it walking around compared to heavy darkness  like a blob"
"2026/09/03 4:27:58 PM GMT+3","Yes","4","7","2","that my answer didnt matter","7","6","2","1. how the darkness surrounded me when it was close","The unlit version felt more scary because it seemed more cold and unrealistic. Second one also felt less scary because I already knew the scene."
